start, end, name
00:01:46, 00:02:01, aus.loskorn.crossfield.assist.to.henke
00:06:56, 00:07:16, dal.zone.run.down.field.score.wilder.slack.coffin
00:11:51, 00:12:11, aus.gfroerer.assist.to.cecil.toe.corner.endzone.score
00:13:16, 00:13:36, dal.gambert.ward.hammer.assist.to.miaw
00:14:59, 00:15:19, dal.emmons.dillon.larberg.assist.to.player28
00:20:06, 00:20:36, aus.buzzer.beater.loskorn.bennett.walter
00:24:03, 00:24:26, dal.stall.dillon.larberg.quick.transition.hammer.assist.to.riggins
00:39:26, 00:39:51, aus.walch.huck.to.pollack.sky.assist.to.henke.score
00:39:46, 00:40:01, aus.broll.henke.celebration
00:43:51, 00:44:11, dal.wilder.behind.back.assist.to.coffin
00:45:06, 00:45:26, aus.loskorn.henke.pollack.henke.assist.to.hollo.toe.line.score
00:48:16, 00:48:31, dal.buzzer.beater.d.dillon.larberg.against.pollack
