start, end, name
00:02:40, 00:02:52, aus.elliot.moore.layout.d
00:04:33, 00:04:42, tampa.seuntjens.snag.catch
00:07:10, 00:07:25, tampa.franklin.layout.endzone.d.against.pollack
00:08:00, 00:08:15, tampa.lane.step.through.assist.to.obryan
00:10:05, 00:10:25, aus.purcell.deep.d
00:10:40, 00:11:10, tampa.number10.clary.layout.d.then.catch.huck.then.chilly.assist.to.mckisic
00:15:00, 00:15:10, tampa.roney.layout.catch.with.contact
00:15:30, 00:15:45, tampa.roney.deep.throw.assist.to.hiser.score
00:17:13, 00:17:27, aus.henke.assist.to.walch.score
00:18:45, 00:19:05, aus.matthis.deep.throw.assist.to.cecil.score
00:22:37, 00:22:47, tampa.roney.layout.d.in.transition
00:29:10, 00:29:30, aus.matthis.assist.to.elliot.moore.score.celebration.broll
00:32:13, 00:32:30, tampa.roney.deep.assist.to.hiser
00:35:15, 00:35:35, tampa.hiser.deep.assist.to.roney
00:36:25, 00:36:45, aus.mutahir.ahmad.deep.assist.to.henke.score
00:38:20, 00:38:35, tampa.vickroy.scoober.assist.to.seuntjens.score
00:39:55, 00:40:05, tampa.number87.layout.d.against.henke
00:40:15, 00:40:35, aus.starkel.deep.assist.to.henke.score
00:42:25, 00:42:35, aus.wuensch.endzone.d
00:44:10, 00:44:35, aus.sol.endzone.set.henke.hockey.assist.to.walch.assist.to.waugh.score
00:46:05, 00:46:17, tampa.chard.layout.catch.with.contact
00:48:52, 00:49:05, aus.walch.assist.to.pollack.score
00:50:27, 00:50:38, tampa.vickroy.hammer.assist.upwind.to.repasky.score
00:56:40, 00:57:10, tampa.three.crossfield.throws.buzzer.beater.roney.obryan.chard.assist.to.seuntjens.score
