start, end, name
01:17:37, 01:17:55, aus.purcell.deep.assist.to.lucky.walch.score
01:19:05, 01:19:15, aus.three.sol.players.needed.to.d.micah.dial.wuensch
01:20:25, 01:20:45, tampa.broll.cannons.players.timeout.picking.who.to.match.upon
01:21:20, 01:21:30, aus.pollack.assist.to.elliot.moore.silly.kick.feet.out.score
01:23:13, 01:23:25, tampa.cannons.high.flying.endzone.defense.roney.anderson.chard
01:32:05, 01:32:20, aus.henke.insane.cuts.starkel.assist.to.henke.score
01:47:35, 01:47:40, tampa.number98.layout.handblock.d
01:52:23, 01:52:29, aus.purcell.double.almost.catch
01:57:20, 01:57:30, aus.dial.catch.between.two.defenders
01:58:35, 01:58:45, aus.dial.assist.to.wuensch.score
